江苏卫视4K(SDR) rtp://239.8.1.109:5000
山东卫视4K(SDR) rtp://239.8.1.115:5000
东方卫视4K(SDR) rtp://239.8.1.114:5000
湖南卫视4K(SDR) rtp://239.8.1.113:5000
四川卫视4K(SDR) rtp://239.8.1.112:5000
浙江卫视4K(SDR) rtp://239.8.1.111:5000
深圳卫视4K(SDR) rtp://239.8.1.97:5000
广东卫视4K(SDR) rtp://239.8.1.96:5000
江苏卫视4K(HDR) rtp://239.8.1.110:5000
北京卫视4K(HDR) rtp://239.8.1.87:5000
南通3套 rtp://239.8.2.44:5000
南通2套 rtp://239.8.2.43:5000
南通1套 rtp://239.8.2.42:5000
宁夏卫视HD rtp://239.8.1.105:5000
兵团卫视HD rtp://239.8.1.106:5000
新疆卫视HD rtp://239.8.1.107:5000
西藏卫视HD rtp://239.8.1.108:5000
卡酷少儿HD rtp://239.8.1.88:5000
山东教育卫视HD rtp://239.8.1.92:5000
北京卫视4K(SDR) rtp://239.8.1.86:5000
都市剧场HD rtp://239.8.1.85:5000
生活时尚HD rtp://239.8.1.84:5000
三沙卫视HD rtp://239.8.1.77:5000
青海卫视HD rtp://239.8.1.76:5000
甘肃卫视HD rtp://239.8.1.75:5000
文物宝库HD rtp://239.8.1.69:5000
武术世界HD rtp://239.8.1.68:5000
江苏教育HD rtp://239.8.1.61:5000
江苏新闻HD rtp://239.8.1.59:5000
优漫卡通HD rtp://239.8.1.58:5000
江苏影视HD rtp://239.8.1.57:5000
江苏体育休闲HD rtp://239.8.1.56:5000
江苏综艺HD rtp://239.8.1.55:5000
江苏城市HD rtp://239.8.1.54:5000
金鹰卡通HD rtp://239.8.1.53:5000
云南卫视HD rtp://239.8.1.38:5000
海南卫视HD rtp://239.8.1.37:5000
广西卫视HD rtp://239.8.1.36:5000
金鹰纪实HD rtp://239.8.1.35:5000
安徽卫视HD rtp://239.8.1.32:5000
河南卫视HD rtp://239.8.1.33:5000
快乐垂钓HD rtp://239.8.0.83:5000
辽宁卫视HD rtp://239.8.1.31:5000
河北卫视HD rtp://239.8.1.29:5000
贵州卫视HD rtp://239.8.1.28:5000
吉林卫视HD rtp://239.8.1.27:5000
东南卫视HD rtp://239.8.1.26:5000
江西卫视HD rtp://239.8.1.25:5000
四川卫视HD rtp://239.8.1.24:5000
重庆卫视HD rtp://239.8.1.21:5000
天津卫视HD rtp://239.8.1.13:5000
湖北卫视HD rtp://239.8.1.12:5000
山东卫视HD rtp://239.8.1.11:5000
黑龙江卫视HD rtp://239.8.1.9:5000
深圳卫视HD rtp://239.8.1.10:5000
广东卫视HD rtp://239.8.1.8:5000
北京卫视HD rtp://239.8.1.6:5000
东方卫视HD rtp://239.8.1.5:5000
浙江卫视HD rtp://239.8.1.4:5000
湖南卫视HD rtp://239.8.1.7:5000
CCTV1-HD rtp://239.8.1.1:5000
CCTV2-HD rtp://239.8.1.14:5000
CCTV3-HD rtp://239.8.1.62:5000
CCTV4-HD rtp://239.8.1.15:5000
CCTV5-HD rtp://239.8.1.63:5000
CCTV5+HD rtp://239.8.1.2:5000
CCTV6-HD rtp://239.8.1.64:5000
CCTV7-HD rtp://239.8.1.71:5000
CCTV8-HD rtp://239.8.1.65:5000
CCTV9-HD rtp://239.8.1.17:5000
CCTV10-HD rtp://239.8.1.18:5000
CCTV11-HD rtp://239.8.1.72:5000
CCTV12-HD rtp://239.8.1.19:5000
CCTV13-HD rtp://239.8.1.66:5000
CCTV14-HD rtp://239.8.1.20:5000
CCTV音乐-HD rtp://239.8.1.73:5000
CCTV16-HD rtp://239.8.1.34:5000
CCTV17-HD rtp://239.8.1.16:5000
